"date","daten","pack","indiv","sex","agecategory","status","stend","code","exact","lseen","cause","litter"
2014-11-12,41955,"1B","BF566","F","AD","MULTI","","FPREG","Y","","","B1406"
2015-07-22,42207,"1B","BM705","M","","","START","BORN","Y","","","B1503"
2014-05-19,41778,"2","TP369","P","PUP","DEP","START","BORN","N","18/05/2014","","T1403"
2015-04-27,42121,"19","XM033","M","PUP","DEP","START","BORN","Y","","","X1501"
2016-03-30,42459,"24","","","","","","SOES","Y","","","ES241601"
2014-10-05,41917,"2","TF394","F","PUP","DEP","START","BORN","Y","","","T1405"
2014-07-09,41829,"1H","H1402","","","","","EMERGE","Y","","","H1402"
2014-10-15,41927,"1H","HM296","M","PUP","DEP","START","BORN","Y","","","H1404"
2014-10-02,41914,"4B","FF207","F","AD","MULTI","","BIRTH","Y","","","F1404"
1997-08-19,35661,"7","7-01A","","","","","LOST","N","","","7-01"
1997-08-27,35669,"7","7-01B","","","","","BORN","Y","","","7-01"
1997-08-27,35669,"7","B3","F","","","START","BORN","Y","","","7-01"
1997-08-27,35669,"7","B4","F","","","START","BORN","Y","","","7-01"
1997-08-27,35669,"7","B5","M","","","START","BORN","Y","","","7-01"
1997-08-27,35669,"7","2N","F","","","","BIRTH","Y","","","7-01"
1997-08-27,35669,"7","2Q","F","","","","BIRTH","Y","","","7-01"
1997-09-17,35690,"1B","B00","","","","","BORN","Y","","","B00"
1997-09-17,35690,"1B","B00","","","","","BORN","N","","","B00"
1997-09-17,35690,"1B","B7","F","","","START","BORN","Y","","","B00"
1997-09-17,35690,"1B","B8","M","","","START","BORN","Y","","","B00"
1997-09-17,35690,"1B","C8","F","","","START","BORN","Y","","","B00"
1997-09-21,35694,"1C","C01","","","","","BORN","N","","","C01"
1997-09-21,35694,"1C","B6","M","","","START","BORN","Y","","","C01"
1997-09-21,35694,"1C","B9","M","","","START","BORN","Y","","","C01"
1997-09-25,35698,"1D","35","F","","","END","ADIED","N","","",""
1997-09-26,35699,"2","T01","","","","","BORN","N","","","T01"
1997-09-26,35699,"2","UM PUP","P","","","START","BORN","Y","","","T01"
1997-09-26,35699,"2","UM PUP","P","","","START","BORN","Y","","","T01"
2001-07-29,37101,"4B","X6","M","AD","","","APPROACH","Y","","F",""
1995-08-07,34918,"1B","1M","M","","","START","BORN","E","","",""
1995-08-14,34925,"10","4I","F","","","START","BORN","E","","",""
1995-08-15,34926,"9","4S","M","","","START","BORN","E","","",""
1995-08-19,34930,"1B","1I","M","","","START","BORN","E","","",""
1995-09-25,34967,"9","6V","M","","","START","BORN","E","","",""
1995-10-27,34999,"4","1U","M","","","START","BORN","E","","",""
1995-11-15,35018,"3","3-9501","","","","","BORN","N","","","3-9501"
1995-11-15,35018,"2","1P","F","","","START","BORN","E","","",""
1995-11-15,35018,"3","72","F","","","","BIRTH","E","","","3-9501"
1995-11-15,35018,"3","73","F","","","","BIRTH","E","","","3-9501"
1995-11-19,35022,"1B","2B","M","","","START","BORN","E","","",""
1995-11-24,35027,"2","T9501","","","","","BORN","N","","","T9501"
1995-11-24,35027,"2","45","F","AD","","","BIRTH","N","","","T9501"
1995-11-24,35027,"2","42","F","","","","BIRTH","N","","","T9501"
1995-11-24,35027,"2","41","F","","","","BIRTH","N","","","T9501"
1995-11-24,35027,"2","22","F","","","","BIRTH","N","","","T9501"
1995-11-24,35027,"2","79","F","","","","BIRTH","N","","","T9501"
1995-11-24,35027,"2","58","F","","","","BIRTH","N","","","T9501"
1995-11-27,35030,"9","5K","F","","","START","BORN","E","","",""
1995-11-30,35033,"7","3G","F","","","START","BORN","E","","",""
2003-05-22,37763,"11","DF025","F","PUP","DEP","","1STFO","Y","","","D0301"
1998-07-20,35996,"1D","UM PUP","P","","","END","ADIED","Y","","","(D)04"
1998-11-20,36119,"11","P7","P","","","END","DIED","Y","","ICIDE","D01"
1998-11-19,36118,"11","O1","F","","","","ABORT","Y","","TRAP","D01"
1998-11-21,36120,"10","U9","M","","","START","BORN","E","","",""
2004-11-18,38309,"1H","HF059","F","AD","MULTI","","ABORT","Y","","","H0404"
2004-11-19,38310,"12","HF016","F","AD","MULTI","","BIRTH","Y","","","V0403"
2003-07-14,37816,"12","HF021","F","AD","MULTI","","BIRTH","N","","","V0303"
2003-07-14,37816,"12","VF003","F","","","START","BORN","N","","","V0303"
2003-07-14,37816,"11","D0302","","","","","LOST","Y","","1B?","D0302"
2004-01-06,37992,"1H","HF045","F","SUB","PRIMIP","","BIRTH","Y","","","H0401"
2004-01-07,37993,"11","DF030","F","PUP","","END","ADIED","Y","","","D0303"
2004-01-07,37993,"1H","HF031","F","AD","MULTI","","BIRTH","Y","","","H0401"
2004-01-07,37993,"1H","HF039","F","AD","MULTI","","BIRTH","Y","","","H0401"
2004-01-07,37993,"1H","H0401a","","","","","BORN","Y","","","H0401"
2004-01-07,37993,"1C","CP057","P","PUP","","","EMERGE","Y","","","C0304"
2001-04-04,36985,"2","TM044","M","PUP","","START","BORN","Y","","","T0102"
